Also lot of opportunities to take new responsibiliteis.,learning,Neutral
Learning new skills and technology is up to you. ,learning,Positive
There is lot of resources and materials.,learning,Positive
What i really like is how the leadership principles are applied by teams in design/code reviews. ,learning,Positive
here is lot of resources and materials.,learning,Positive
"wants to succeed both personally, and as a company.",learning,Positive
 The opportunities to learn here are literally unlimited,learning,Positive
the opportunity to take on new responsibility is as well.,learning,Neutral
this is an amazing job and projects,learning,Positive
"an amazing opportunity,",learning,Positive
Work/life balance is not bad,learning,Positive
"leaders Treat people as humans, not organic robots. ",learning,Negative
Access to amazing reports and recruitment data.,learning,Positive
my boss is great in mentoring & teaching,learning,Positive
Too frugal Stock options are spread over long years Too many internal tools,learning,Positive
treat employee as a human,learning,Positive
 No growth opportunities.,learning,Negative
Very fast pace work,learning,Positive
"Sweat shop for recruiters, poor hiring on the recruiting side",learning,Negative
training courses are average at best and then you are expected to hit the ground running. ,learning,Neutral
Recruiters here dont really have a path for career development. ,learning,Neutral
"Talk to your teams, recognize wins and focus on the positive impact folks are making.",learning,Positive
Terrible training program. ,learning,Positive
Teach yourself for the most part,learning,Positive
"Great team, provides most that a tech company should",learning,Positive
Horrible pressure and deadlines for the projects,learning,Positive
hey will look for any reason to fire top maintenance technicians,learning,Neutral
no coaching,learning,Negative
"No opportunity to grow with fake, ",learning,Negative
non-value added projects.,learning,Negative
There are daily stand up meetings where you have to announce to the team all the things you are working on,learning,Positive
 they vote on how much your workload is truly worth.,learning,Positive
"Focus on leadership training, and diversity.",learning,Positive
not enough of training or fair opportunities to move up to a higher position.,learning,Negative
Trained for a hour then started working but to find out we don’t get a set schedule ,learning,Negative
this needs to be explained at training nobody told us anything about and email would be sent out and then we scramble to get some,learning,Neutral
You have to get trained on a forklift and if you hit something you can't drive forklift for 3 to 4 months,learning,Negative
